Latin,Russian
 Fortes fortuna juiat, Фортуна помогает смелым
 Carpe diem, Лови момент
 Nostra victoria in concordia, Наша победа в согласии
 Veritatis simplex est orato, Истинная речь проста
 Nemo omnia potest scire, Никто не может знать все
 Finis coronat opus, Конец — делу венец
 Omnia mea mecum porto, Все свое ношу с собой
 Sancta sanctorum, Святая святых
 Ibi victoria ubi concordia," Там победа, где согласие"
 Experentia est optima magistra, Опыт есть лучший учитель
 Amat victoria curam, Победа любит заботу
 Vivere est cogitare, Жить значит мыслить
 Epistula non erubescit, Бумага не краснеет
 Festina lente, Поспешай медленней
 Nota bene, Запомни хорошо
 Elephantum ex musca facis, Делать из мухи слона
 Ignorantia non est argumentum, Отрицание не есть доказательство
 Lupus non mordet lupum, Волк волка не кусает
 Vae victis, Горе побежденным
" Medice, cura te ipsum"," Врач, исцелися сам"
 De te fabula narratur, О тебе сказочка рассказывается
 Tertium non datur, Третьего не дано
" Age, quod agis"," Делай, что ты делаешь"
 Do ut des," Даю, чтобы и ты дал"
 Amantes — amentes, Влюбленные безумны
 Alma mater, Университет
 Amor vincit omnia, Любовь побеждает все
" Aut Caesar, aut nihil"," Или все, или ничего"
 Aut — aut, Или-или
" Si vis amari, ama"," Если хочешь быть любимым, люби"
 Ab ovo ad mala, С яйца и до яблока
 Timeo danaos et dona ferentes," Бойтесь данайцев, дары приносящих"
 Sapienti sat est, Это сказано человеком
 Periculum in mora, Опасность в промедлении
 O fallacem hominum spem, О обманчивая надежда человеческая
 Quoandoe bonus dormitat Homerus, Иногда и добрый наш Гомер дремлет
 Sponte sua sina lege, По собственному побуждению
 Pia desideria, Благие намерения
" Ave Caesar, morituri te salutant"," Идущие на смерть, Цезарь, приветствуют тебя"
 Modus vivendi," Образ жизни
"
 Homo sum: humani nihil a me alienum puto," Я человек, и ничто человеческое мне не чуждо"
 Ne quid nimis," Ничего сверх меры
"
 De qustibus et coloribus non est disputantum, На вкус и цвет товарища нет
 Ira furor brevis est, Гнев есть кратковременное исступленье
" Feci quod potui faciant meliora potentes Я сделал все, что мог"," Кто может, пусть сделает лучше"
 Nescio quid majus nascitur Iliade," Рождается нечто более великое, чем Илиада"
 In medias res," В середину вещей, в самую суть"
 Non bis in idem, Достаточно и одного раза
 Non sum qualis eram," Я не тот, каким был прежде"
 Abussus abussum invocat, Беда никогда не приходит одна
 Hoc volo sic jubeo sit pro ratione voluntas," Я так велю, пусть доводом будет моя воля"
 Amici diem perdidi," Друзья, я потерял день"
 Aquilam volare doces, Учить орла летать
" Vive, valeque", Живи и здравствуй
 Vale et me ama, Будь и здоров и люби меня
 Sic itur ad astra, Так идут к звездам
" Si taces, consentus"," Кто молчит, соглашается"
 Littera scripta manet, Написанное остается
 Ad meliora tempora, До лучших времен
 Plenus venter non studet libenter, Сытое брюхо к учению глухо
 Abussus non tollit usum, Злоупотребление не отменяет употребления
 Ab urbe conita, От основания города
 Salus populi summa lex, Благо народа есть высший закон
 Vim vi repelllere licet, Насилие позволяется отражать силой
 Sero (tarle) venientibus — ossa, Поздно приходящим достаются кости
 Lupus in fabula, Легок на помине
 Acta est fabula, Представление окончено (Финита ля комедия
 Legem brevem esse oportet, Закон должен быть кратким
 Lectori benevolo salutem, (L·B
 Aegri somnia, Сновидения больного
 Abo in pace, Иди с миром
 Absit invidia verbo, Да не осудят меня за эти слова
 Abstractum pro concreto, Абстрактное вместо конкретного
" Acceptissima semper munera sunt, auctor quae pretiosa facit"," Лучше всего те подарки, ценность которых в самом дарителе"
 Ad impossibilia nemo obligatur, К невозможному никого не обязывают
 Ad libitum, По желанию
" Ad narrandum, non ad probandum"," Для того, чтобы рассказать, а не доказать"
 Ad notam, К сведению
 Ad personam, Лично
 Advocatus Dei (Diavoli), Адвокат Бога (Дьявола)
 Aeterna urbs, Вечный город
 Aquila non captat muscas, Орел не ловит мух
 Confiteor solum hoc tibi, Исповедуюсь в этом только тебе
" Cras amet, qui nunquam amavit quique amavit cras amet"," Пусть завтра полюбит тот, кто никогда не любил, а тот кто любил, пусть завтра полюбит"
" Credo, quia verum (absurdum)"," Верю, ибо это истина (это абсурдно)"
 Bene placito, По доброй воле
 Cantus cycneus, Лебединая песня
